city,name,price
保定,鹏渤·印象城,7900
保定,华侨城·城市客厅,9000
保定,中国铁建樾府国际,9700
保定,天地新城,9050
保定,朝阳首府彤园,9000
保定,石榴·翡翠山,9500
保定,隆基泰和铂悦山,12000
保定,中诚碧桂园璟公馆,13000
保定,丽斯花园,9500
保定,翡翠华府,7800
保定,凤凰国际,9000
保定,中新悦朗,8500
保定,英伦名郡,价格待定
保定,宏远·阳光丽景,8500
保定,宏远·阳光丽景,12000
保定,碧桂园·悦公馆,价格待定
保定,嘉禾直隶新城花都,13500
保定,浪潮一览云山,6500
保定,IFC国际金融中心,7500
保定,滨江郦城,9200
保定,汇元-玖號院,6980
保定,乾城华府,11500
保定,鸿坤理想尔湾,11000
保定,鸿坤理想尔湾,6500
保定,鸿坤理想湾南区,13500
保定,锦绣范阳,11000
保定,哈弗城D3区,价格待定
巴彦淖尔,云锦世家,6300
巴彦淖尔,天赋雅苑,6200
巴彦淖尔,君诚元小区,3600
巴彦淖尔,五星莊园,4500
巴彦淖尔,恒大珺庭,7800
巴彦淖尔,清宜林海岸,5000
巴彦淖尔,大兴国际,4600
巴彦淖尔,金岸国际,6050
巴彦淖尔,滨河丽景,5000
巴彦淖尔,当代华庭一期,5200
巴彦淖尔,当代华庭二期,5200
巴彦淖尔,世家广场,5800
巴彦淖尔,春雪山河墅8号,6500
巴彦淖尔,兴盛国际花园二期B区,7300
巴彦淖尔,华泰丽都C区,5000
巴彦淖尔,大兴国际二期,4500
巴彦淖尔,春雪山河墅8号二期,5800
巴彦淖尔,日月星苑,4500
巴彦淖尔,日信中央公园E区,4650
巴彦淖尔,日信中央公园F区,4700
巴彦淖尔,浩彤新坐标,3500
巴彦淖尔,万达·万尚城,4700
巴彦淖尔,富源·幸福华庭,6200
巴彦淖尔,富源·幸福里,6000
巴彦淖尔,奥林国际六区,6450
巴彦淖尔,春雪山河森林公元D区,4600
巴彦淖尔,临河碧桂园,5600
巴彦淖尔,万锦世纪城二期,6500
巴彦淖尔,兴盛国际二期C区,价格待定
北海,中电海湾国际社区,4800
北海,百丰花园,6380
北海,天隆三千海桃花岛家园,14000
北海,天隆三千海,12900
北海,碧桂园北海阳光,5000
北海,明豪花园,6800
北海,银滩掌舵家园,9200
北海,彰泰红树湾小区,8500
北海,云星海景台,13000
